Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Y/G,Fmb,AV
2007,22,MIN,RB,28,14,9,238,1341,12,95.8,4,11
2008,23,MIN,RB,28,16,15,363,1760,10,110.0,9,13
2009,24,MIN,RB,28,16,15,314,1383,18,86.4,7,16
2010,25,MIN,RB,28,15,15,283,1298,12,86.5,1,10
2011,26,MIN,RB,28,12,12,208,970,12,80.8,1,8
2012,27,MIN,RB,28,16,16,348,2097,12,131.1,4,19
2013,28,MIN,RB,28,14,14,279,1266,10,90.4,5,11
2014,29,MIN,rb,28,1,1,21,75,0,75.0,0,1
2015,30,MIN,RB,28,16,16,327,1485,11,92.8,7,14
2016,31,MIN,rb,28,3,3,37,72,0,24.0,1,1
2017,32,2TM,rb,0,10,7,156,529,2,52.9,3,4
2018,33,WAS,RB,26,16,16,251,1042,7,65.1,3,7
2019,34,WAS,RB,26,11,11,147,642,2,58.4,1